species,genus,a,b,n_records,length_type,Lmin_cm,Lmax_cm,family,order,class
Lutjanus fulviflamma,Lutjanus,0.02149,2.944,12,TL,1.6,37,Lutjanidae,Eupercaria/misc,Teleostei
Lutjanus fulvus,Lutjanus,0.0243,2.97433,9,FL,3.3,36.6,Lutjanidae,Eupercaria/misc,Teleostei
Colossoma macropomum,Colossoma,0.0249,3.008,1,TL,30,95,Serrasalmidae,Characiformes,Teleostei
Lutjanus johnii,Lutjanus,0.043905,2.733,10,TL,6.9,106,Lutjanidae,Eupercaria/misc,Teleostei
Lutjanus gibbus,Lutjanus,0.0286,3.047,11,FL,8.5,56.8,Lutjanidae,Eupercaria/misc,Teleostei
Lutjanus griseus,Lutjanus,0.0207,2.893,15,FL,4,70,Lutjanidae,Eupercaria/misc,Teleostei
Abramis brama,Abramis,0.011,3.0606,39,TL,3.4,59,Leuciscidae,Cypriniformes,Teleostei
Tinca tinca,Tinca,0.01638,2.9744,14,TL,2,55.8,Tincidae,Cypriniformes,Teleostei
Carassius carassius,Carassius,0.0148,3.12,9,TL,4.5,64,Cyprinidae,Cypriniformes,Teleostei
Carassius auratus,Carassius,0.013,3.08,23,TL,1.5,45.3,Cyprinidae,Cypriniformes,Teleostei
Rutilus rutilus,Rutilus,0.0061,3.25495,50,TL,2,50.2,Leuciscidae,Cypriniformes,Teleostei
Hypophthalmichthys molitrix,Hypophthalmichthys,0.01555,3.0575,12,SL,8.3,84.5,Xenocyprididae,Cypriniformes,Teleostei
Hypophthalmichthys nobilis,Hypophthalmichthys,0.0204,2.9955,12,SL,4.3,89.5,Xenocyprididae,Cypriniformes,Teleostei
Notemigonus crysoleucas,Notemigonus,0.00972,3.216,5,TL,3.6,15,Leuciscidae,Cypriniformes,Teleostei
