species,genus,a,b,n_records,length_type,Lmin_cm,Lmax_cm,family,order,class
Chriolepis zebra,Chriolepis,0.013,3.233,1,TL,0.91,2.78,Gobiidae,Gobiiformes,Teleostei
Notolabrus parilus,Notolabrus,0.021,2.9072,3,TL,,,Labridae,Eupercaria/misc,Teleostei
Acanthorhodeus chankaensis,Acanthorhodeus,0.0102,3.1225,10,TL,3.1,14.4,Acheilognathidae,Cypriniformes,Teleostei
Chriolepis semisquamata,Chriolepis,0.016,3.204,1,TL,1.25,3.3,Gobiidae,Gobiiformes,Teleostei
Lythrypnus rhizophora,Lythrypnus,0.019,3,3,TL,0.74,2.18,Gobiidae,Gobiiformes,Teleostei
Notolabrus celidotus,Notolabrus,0.00472,3.227,1,TL,2.7,20.1,Labridae,Eupercaria/misc,Teleostei
Lythrypnus pulchellus,Lythrypnus,0.014205,3.099,2,TL,0.7,3.39,Gobiidae,Gobiiformes,Teleostei
Crenicichla igara,Crenicichla,0.005,3.23,1,TL,6.7,31.2,Cichlidae,Cichliformes,Teleostei
Crenicichla jurubi,Crenicichla,0.014,2.87,1,TL,8.2,30.3,Cichlidae,Cichliformes,Teleostei
Crenicichla lacustris,Crenicichla,0.00487,3.28,4,TL,3.6,35.2,Cichlidae,Cichliformes,Teleostei
Lugubria lenticulata,Lugubria,0.00884,3,1,TL,39.4,40.6,Cichlidae,Cichliformes,Teleostei
Gobionellus microdon,Gobionellus,0.005815,2.904,4,SL,1.3,18.4,Gobiidae,Gobiiformes,Teleostei
Gobiosoma chiquita,Gobiosoma,0.014,3.2575,2,SL,1.09,3.92,Gobiidae,Gobiiformes,Teleostei
Lugubria lugubris,Lugubria,0.01485,3.002,2,SL,11.5,32.9,Cichlidae,Cichliformes,Teleostei
Crenicichla minuano,Crenicichla,0.008,3.08,1,TL,4,26,Cichlidae,Cichliformes,Teleostei
Elacatinus puncticulatus,Elacatinus,0.01358,3.038,2,TL,1,4.99,Gobiidae,Gobiiformes,Teleostei
Tigrigobius digueti,Tigrigobius,0.00708,3.359,1,TL,1.17,2.93,Gobiidae,Gobiiformes,Teleostei
Ctenogobius manglicola,Ctenogobius,0.008,3.42,1,SL,1.72,2.35,Gobiidae,Gobiiformes,Teleostei
Crenicichla scottii,Crenicichla,0.0097,3.26,2,SL,6,24,Cichlidae,Cichliformes,Teleostei
Crenicichla tendybaguassu,Crenicichla,0.013,2.91,1,TL,10.3,19.6,Cichlidae,Cichliformes,Teleostei
Crenicichla vittata,Crenicichla,0.003,3.37,1,TL,4.5,31,Cichlidae,Cichliformes,Teleostei
Geophagus argyrostictus,Geophagus,0.0133,3.06,1,TL,3,24.2,Cichlidae,Cichliformes,Teleostei
Tomicodon humeralis,Tomicodon,0.00975,3,2,SL,3.8,,Gobiesocidae,Gobiesociformes,Teleostei
Gnathopogon strigatus,Gnathopogon,0.0081,3.145,1,TL,4.7,10.3,Gobionidae,Cypriniformes,Teleostei
Gobio cynocephalus,Gobio,0.10909,2.2868,2,TL,1.8,15.2,Gobionidae,Cypriniformes,Teleostei
Coregonus laurettae,Coregonus,0.01675,2.961,1,FL,,,Salmonidae,Salmoniformes,Teleostei
Awaous tajasica,Awaous,0.00464,3.3,1,TL,3.6,16.1,Gobiidae,Gobiiformes,Teleostei
Pseudolabrus miles,Pseudolabrus,0.0192,3.12,1,SL,9.9,22.4,Labridae,Eupercaria/misc,Teleostei
Coryphaenoides murrayi,Coryphaenoides,0.162,2.98,1,OT,5,18,Macrouridae,Gadiformes,Teleostei
Scorpaena cardinalis,Scorpaena,0.0111,3.206,1,TL,,,Scorpaenidae,Perciformes/Scorpaenoidei,Teleostei
Karalepis stewarti,Karalepis,0.00623,3.099,1,TL,2.8,13.4,Tripterygiidae,Blenniiformes,Teleostei
Gilloblennius tripennis,Gilloblennius,0.0179,2.896,1,TL,4.5,11.6,Tripterygiidae,Blenniiformes,Teleostei
Notoclinus fenestratus,Notoclinus,0.00693,3.077,1,TL,2.9,12.7,Tripterygiidae,Blenniiformes,Teleostei
Notoclinus compressus,Notoclinus,0.00247,3.317,1,TL,2,8.7,Tripterygiidae,Blenniiformes,Teleostei
Forsterygion varium,Forsterygion,0.0177,2.99,1,SL,1.5,10,Tripterygiidae,Blenniiformes,Teleostei
Notoclinops yaldwyni,Notoclinops,0.00561,3.179,1,TL,1.7,6.4,Tripterygiidae,Blenniiformes,Teleostei
Cristiceps aurantiacus,Cristiceps,0.00202,3.675,1,TL,12,19.8,Clinidae,Blenniiformes,Teleostei
Ericentrus rubrus,Ericentrus,0.0139,2.846,1,TL,1.8,10.4,Clinidae,Blenniiformes,Teleostei
Pempheris adspersa,Pempheris,0.00776,3.127,1,TL,4.7,16,Pempheridae,Acropomatiformes,Teleostei
Chironemus marmoratus,Chironemus,0.00579,3.18,1,TL,12.5,27.3,Chironemidae,Centrarchiformes,Teleostei
Aplodactylus arctidens,Aplodactylus,0.00526,3.207,1,TL,19.4,52,Aplodactylidae,Centrarchiformes,Teleostei
Forsterygion maryannae,Forsterygion,0.00387,3.243,1,TL,2.4,5.9,Tripterygiidae,Blenniiformes,Teleostei
Guianacara owroewefi,Guianacara,0.0272,3.23,1,SL,1.8,6,Cichlidae,Cichliformes,Teleostei
Hoplarchus psittacus,Hoplarchus,0.0228,3,1,TL,31.8,31.8,Cichlidae,Cichliformes,Teleostei
Krobia guianensis,Krobia,0.0049,3.392,1,TL,3.1,12.3,Cichlidae,Cichliformes,Teleostei
Nannacara aureocephalus,Nannacara,0.0367,2.94,1,SL,1.2,5.8,Cichlidae,Cichliformes,Teleostei
Retroculus lapidifer,Retroculus,0.034,2.97,4,SL,1.78,25.1,Cichlidae,Cichliformes,Teleostei
Retroculus xinguensis,Retroculus,0.0111,3.11,1,TL,3.1,31,Cichlidae,Cichliformes,Teleostei
Iranocichla hormuzensis,Iranocichla,0.0189,3.041,1,TL,3.33,12.9,Cichlidae,Cichliformes,Teleostei
Neosalanx jordani,Neosalanx,0.00199,3.292,2,TL,2.93,5.7,Salangidae,Osmeriformes,Teleostei
Neosalanx anderssoni,Neosalanx,0.00389,2.9,1,TL,3.7,11.49,Salangidae,Osmeriformes,Teleostei
Salanx prognathus,Salanx,0.00175,3,1,TL,10.79,13.87,Salangidae,Osmeriformes,Teleostei
Galaxias platei,Galaxias,0.005,3.15,1,TL,2.1,16.8,Galaxiidae,Galaxiiformes,Teleostei
Phalloptychus januarius,Phalloptychus,0.007935,3.385,2,TL,2.01,3.27,Poeciliidae,Cyprinodontiformes,Teleostei
Abyssocottus korotneffi,Abyssocottus,0.00994,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Poeciliopsis fasciata,Poeciliopsis,0.0135,3.4635,2,SL,1,5.1,Poeciliidae,Cyprinodontiformes,Teleostei
Poeciliopsis hnilickai,Poeciliopsis,0.014,3.315,1,SL,3,4.9,Poeciliidae,Cyprinodontiformes,Teleostei
Poeciliopsis turrubarensis,Poeciliopsis,0.0059,3.34,1,TL,2.2,5.6,Poeciliidae,Cyprinodontiformes,Teleostei
Priapichthys annectens,Priapichthys,0.01846,3.0901,1,SL,1.71,5.19,Poeciliidae,Cyprinodontiformes,Teleostei
Microphysogobio amurensis,Microphysogobio,0.0039,3.259,1,TL,5.3,7.6,Gobionidae,Cypriniformes,Teleostei
Romanogobio tenuicorpus,Romanogobio,0.0275,2.504,1,TL,10.9,25.6,Gobionidae,Cypriniformes,Teleostei
Sarcocheilichthys sinensis,Sarcocheilichthys,0.0194,3.08,5,SL,3.8,24.2,Gobionidae,Cypriniformes,Teleostei
Saurogobio dabryi,Saurogobio,0.009,2.98,10,TL,2.8,27.3,Gobionidae,Cypriniformes,Teleostei
Squalidus chankaensis,Squalidus,0.0048,3.287,3,TL,3.6,17.5,Gobionidae,Cypriniformes,Teleostei
Protemblemaria bicirrus,Protemblemaria,0.00605,3,2,SL,3,,Chaenopsidae,Blenniiformes,Teleostei
Helicolenus barathri,Helicolenus,0.03045,2.9235,2,FL,10,43,Sebastidae,Perciformes/Scorpaenoidei,Teleostei
Hemidoras stenopeltis,Hemidoras,0.01095,3.088,1,SL,8.7,19.4,Doradidae,Siluriformes,Teleostei
Leptodoras hasemani,Leptodoras,0.0047,3.28,1,TL,8.5,22.8,Doradidae,Siluriformes,Teleostei
Hemidoras boulengeri,Hemidoras,0.02198,2.858,1,SL,6.2,19.3,Doradidae,Siluriformes,Teleostei
Nemadoras hemipeltis,Nemadoras,0.0214,2.9178,1,SL,9,14,Doradidae,Siluriformes,Teleostei
Nemadoras humeralis,Nemadoras,0.01908,3.061,1,SL,7,13.5,Doradidae,Siluriformes,Teleostei
Hemidoras morei,Hemidoras,0.0295,2.8067,1,SL,4,16.3,Doradidae,Siluriformes,Teleostei
Hemidoras stuebelii,Hemidoras,0.0129,3.1868,1,SL,10.1,15.2,Doradidae,Siluriformes,Teleostei
Hassar affinis,Hassar,0.0217,2.99,1,SL,7.6,20.7,Doradidae,Siluriformes,Teleostei
Hassar orestis,Hassar,0.0133,2.87,1,TL,9.4,29.8,Doradidae,Siluriformes,Teleostei
Leptodoras praelongus,Leptodoras,0.0147,3.101,1,SL,6.5,18,Doradidae,Siluriformes,Teleostei
Hassar wilderi,Hassar,0.039,2.723,1,SL,8,21,Doradidae,Siluriformes,Teleostei
Coelorinchus bollonsi,Coelorinchus,0.00235,3.2515,2,TL,25.1,64,Macrouridae,Gadiformes,Teleostei
Symphurus trewavasae,Symphurus,0.004,3.265,1,TL,9.9,18.2,Cynoglossidae,Pleuronectiformes,Teleostei
Symphurus kyaropterygium,Symphurus,0.0316,2.62,1,TL,9.3,11.4,Cynoglossidae,Pleuronectiformes,Teleostei
Trachydoras nattereri,Trachydoras,0.011,3.39,1,SL,8.7,12.4,Doradidae,Siluriformes,Teleostei
Trachydoras paraguayensis,Trachydoras,0.026595,3.0965,6,SL,5.3,19.2,Doradidae,Siluriformes,Teleostei
Trachydoras brevis,Trachydoras,0.0146,3.007,1,TL,8.5,13.9,Doradidae,Siluriformes,Teleostei
Anadoras grypus,Anadoras,0.063,2.67185,2,SL,7.5,14.6,Doradidae,Siluriformes,Teleostei
Astrodoras asterifrons,Astrodoras,0.0528,2.564,1,SL,4.5,12.5,Doradidae,Siluriformes,Teleostei
Astronesthes similus,Astronesthes,0.0107,2.55,1,SL,3.6,7.5,Stomiidae,Stomiiformes,Teleostei
Rhinodoras dorbignyi,Rhinodoras,0.129,2.29,1,SL,17,22.5,Doradidae,Siluriformes,Teleostei
Platydoras armatulus,Platydoras,0.03785,2.8275,2,SL,7.7,43,Doradidae,Siluriformes,Teleostei
Franciscodoras marmoratus,Franciscodoras,0.008,3.314,1,SL,7.9,29,Doradidae,Siluriformes,Teleostei
Symphurus jenynsi,Symphurus,0.00114,3.611,1,TL,11.3,25.8,Cynoglossidae,Pleuronectiformes,Teleostei
Trachydoras steindachneri,Trachydoras,0.0754,2.5345,1,SL,10.5,16,Doradidae,Siluriformes,Teleostei
Centrochir crocodili,Centrochir,0.04085,2.746,2,SL,5.2,22.5,Doradidae,Siluriformes,Teleostei
Epapterus dispilurus,Epapterus,0.004,3.39,1,SL,8,15.4,Auchenipteridae,Siluriformes,Teleostei
Auchenipterichthys longimanus,Auchenipterichthys,0.01765,2.96,2,TL,5.5,22.8,Auchenipteridae,Siluriformes,Teleostei
Ogcocephalus vespertilio,Ogcocephalus,0.0302,2.83,3,TL,4,14.5,Ogcocephalidae,Lophiiformes,Teleostei
Glanidium ribeiroi,Glanidium,0.0199,3.1,1,SL,5.9,22,Auchenipteridae,Siluriformes,Teleostei
Polyipnus asteroides,Polyipnus,0.03477,2.55,1,TL,2.1,8.7,Sternoptychidae,Stomiiformes,Teleostei
Wertheimeria maculata,Wertheimeria,0.03,2.85,1,SL,9.9,26.2,Doradidae,Siluriformes,Teleostei
Centromochlus heckelii,Centromochlus,0.01822,3.024,1,SL,5.3,13.9,Auchenipteridae,Siluriformes,Teleostei
Trachelyopterus insignis,Trachelyopterus,0.0218,2.904,2,SL,5.7,22.5,Auchenipteridae,Siluriformes,Teleostei
Megalonema xanthum,Megalonema,0.0181,2.8307,1,SL,4.6,15.2,Pimelodidae,Siluriformes,Teleostei
Megalonema platanum,Megalonema,0.00835,3.05,2,SL,11.5,40,Pimelodidae,Siluriformes,Teleostei
Lophiosilurus alexandri,Lophiosilurus,0.045,2.76,1,SL,10,63.5,Pseudopimelodidae,Siluriformes,Teleostei
Cephalosilurus fowleri,Cephalosilurus,0.005,3.293,1,SL,10.3,29,Pseudopimelodidae,Siluriformes,Teleostei
Zungaro zungaro,Zungaro,0.0281,2.924,5,SL,16.7,137,Pimelodidae,Siluriformes,Teleostei
Acentronichthys leptos,Acentronichthys,0.007905,2.785,2,SL,2.7,11,Heptapteridae,Siluriformes,Teleostei
Chasmocranus longior,Chasmocranus,0.00762,3.06,1,SL,2.7,11.3,Heptapteridae,Siluriformes,Teleostei
Heptapterus mustelinus,Heptapterus,0.0097,2.85,3,SL,2.1,26,Heptapteridae,Siluriformes,Teleostei
Chasmocranus quadrizonatus,Chasmocranus,0.0093,2.899,1,TL,4.4,6.3,Heptapteridae,Siluriformes,Teleostei
Chasmocranus rosae,Chasmocranus,0.00918,2.93,1,TL,3.8,9.7,Heptapteridae,Siluriformes,Teleostei
Rhynchocypris czekanowskii,Rhynchocypris,0.119,1.6615,1,TL,1.1,6.3,Leuciscidae,Cypriniformes,Teleostei
Cetopsorhamdia nasus,Cetopsorhamdia,0.0212,2.8027,1,SL,3.7,10.3,Heptapteridae,Siluriformes,Teleostei
Cetopsorhamdia iheringi,Cetopsorhamdia,0.0125,3.25,1,SL,2.6,11.1,Heptapteridae,Siluriformes,Teleostei
Rhodeus lighti,Rhodeus,0.00935,3.179,1,TL,2.7,7.2,Acheilognathidae,Cypriniformes,Teleostei
Pimelodus albofasciatus,Pimelodus,0.0271,2.8266,1,SL,6.5,29.5,Pimelodidae,Siluriformes,Teleostei
Pimelodella cristata,Pimelodella,0.0148,2.81,3,SL,4,30,Heptapteridae,Siluriformes,Teleostei
Pimelodella geryi,Pimelodella,0.0127,2.93,1,SL,3.2,10.8,Heptapteridae,Siluriformes,Teleostei
Pseudaspius brandtii,Pseudaspius,0.0177,3,1,TL,53,54,Leuciscidae,Cypriniformes,Teleostei
Pimelodella procera,Pimelodella,0.00776,3.11,1,SL,3.2,11.7,Heptapteridae,Siluriformes,Teleostei
Goeldiella eques,Goeldiella,0.016,3,1,SL,7.4,25.5,Heptapteridae,Siluriformes,Teleostei
Cobitis sinensis,Cobitis,0.007565,2.9205,4,TL,3.5,15.3,Cobitidae,Cypriniformes,Teleostei
Sabanejewia caspia,Sabanejewia,0.0045,3.0895,2,TL,3.7,8.8,Cobitidae,Cypriniformes,Teleostei
Gymnelus hemifasciatus,Gymnelus,0.00252,3.1359,1,TL,,,Zoarcidae,Perciformes/Zoarcoidei,Teleostei
Eigenmannia humboldtii,Eigenmannia,0.002,2.818,1,SL,18.2,48.6,Sternopygidae,Gymnotiformes,Teleostei
Eigenmannia microstomus,Eigenmannia,0.016,2.568,1,SL,1.6,36,Sternopygidae,Gymnotiformes,Teleostei
Eigenmannia trilineata,Eigenmannia,0.0062,2.58,1,SL,5.1,19.5,Sternopygidae,Gymnotiformes,Teleostei
Ponticola bathybius,Ponticola,0.0777,2.44,1,TL,21.1,29.3,Gobiidae,Gobiiformes,Teleostei
Neogobius caspius,Neogobius,0.0136,3.024,3,TL,4.93,17.5,Gobiidae,Gobiiformes,Teleostei
Ageneiosus inermis,Ageneiosus,0.015235,3.03,6,SL,12.7,64.8,Auchenipteridae,Siluriformes,Teleostei
Batrachocottus baicalensis,Batrachocottus,0.0171,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Batrachocottus nikolskii,Batrachocottus,0.0175,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Leocottus kesslerii,Leocottus,0.015,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Cottus sibiricus,Cottus,0.02,2.986,1,SL,4.6,11.4,Cottidae,Perciformes/Cottoidei,Teleostei
Sternopygus aequilabiatus,Sternopygus,9e-04,3.19,1,SL,21.2,81,Sternopygidae,Gymnotiformes,Teleostei
Apteronotus mariae,Apteronotus,0.005,2.807,1,SL,14.5,27.3,Apteronotidae,Gymnotiformes,Teleostei
Paracottus knerii,Paracottus,0.0139,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Abyssocottus gibbosus,Abyssocottus,0.0217,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Asprocottus abyssalis,Asprocottus,0.0125,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Asprocottus herzensteini,Asprocottus,0.01106,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Asprocottus platycephalus,Asprocottus,0.0111,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Cottinella boulengeri,Cottinella,0.0101,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Limnocottus bergianus,Limnocottus,0.00909,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Cyphocottus eurystomus,Cyphocottus,0.0178,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Limnocottus griseus,Limnocottus,0.0149,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Cyphocottus megalops,Cyphocottus,0.0116,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Rhamphichthys pantherinus,Rhamphichthys,2e-04,3.5137,1,SL,31.2,55,Rhamphichthyidae,Gymnotiformes,Teleostei
Gymnorhamphichthys rondoni,Gymnorhamphichthys,0.001,2.907,1,SL,2.69,11.019,Rhamphichthyidae,Gymnotiformes,Teleostei
Limnocottus pallidus,Limnocottus,0.00782,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Procottus jeittelesii,Procottus,0.0145,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Procottus major,Procottus,0.0175,3,1,TL,,,Cottidae,Perciformes/Cottoidei,Teleostei
Alosa tanaica,Alosa,0.005,3.195,4,TL,9.6,30,Alosidae,Clupeiformes,Teleostei
Rhoadsia altipinna,Rhoadsia,0.0187,3.12,1,SL,1.67,9.11,Acestrorhamphidae,Characiformes,Teleostei
Coregonus widegreni,Coregonus,0.0056,3.2199,1,FL,11,50,Salmonidae,Salmoniformes,Teleostei
Rhynchocypris oxycephala,Rhynchocypris,0.007,3.15,3,TL,2,15.4,Leuciscidae,Cypriniformes,Teleostei
Romanogobio persus,Romanogobio,0.002,3.46,1,TL,6.65,9.67,Gobionidae,Cypriniformes,Teleostei
Capoeta tinca,Capoeta,0.0145,2.9429,3,FL,4.2,40.7,Cyprinidae,Cypriniformes,Teleostei
Capoeta sieboldii,Capoeta,0.0115,3.0092,4,FL,5.2,45.5,Cyprinidae,Cypriniformes,Teleostei
Luciobarbus mursa,Luciobarbus,0.01,2.98,1,TL,5.6,21.6,Cyprinidae,Cypriniformes,Teleostei
Schizothorax pelzami,Schizothorax,0.012,2.87,1,TL,9.08,14.48,Cyprinidae,Cypriniformes,Teleostei
Schizothorax pseudoaksaiensis,Schizothorax,0.006,3.14,1,TL,8.22,49.86,Cyprinidae,Cypriniformes,Teleostei
Leucalburnus satunini,Leucalburnus,0.009,3.01,1,TL,6.8,17.2,Leuciscidae,Cypriniformes,Teleostei
Alburnus hohenackeri,Alburnus,0.0099,3.056,2,TL,4.888,11.2,Leuciscidae,Cypriniformes,Teleostei
Alburnus filippii,Alburnus,0.0074,3.0345,2,TL,2.5,20.3,Leuciscidae,Cypriniformes,Teleostei
Acanthobrama microlepis,Acanthobrama,0.01085,3.075,2,,,,Leuciscidae,Cypriniformes,Teleostei
Hedinichthys yarkandensis,Hedinichthys,0.01365,2.98,2,TL,3.1,18.4,Nemacheilidae,Cypriniformes,Teleostei
Lycenchelys paxillus,Lycenchelys,5e-04,3.375,1,TL,,,Zoarcidae,Perciformes/Zoarcoidei,Teleostei
Paraschistura cristata,Paraschistura,0.0048,3.212,5,TL,2.55,9.3,Nemacheilidae,Cypriniformes,Teleostei
Guyanancistrus brevispinis,Guyanancistrus,0.017,3.21,1,SL,2,9,Loricariidae,Siluriformes,Teleostei
Lycodes albolineatus,Lycodes,0.00065,3.5635,2,TL,27,77,Zoarcidae,Perciformes/Zoarcoidei,Teleostei
Lycodes terraenovae,Lycodes,0.00114,3.368,1,TL,,,Zoarcidae,Perciformes/Zoarcoidei,Teleostei
Lycodes concolor,Lycodes,0.00085,3.47,2,TL,44,80,Zoarcidae,Perciformes/Zoarcoidei,Teleostei
Coregonus maraena,Coregonus,0.0073,3.1187,1,FL,18,47,Salmonidae,Salmoniformes,Teleostei
Pseudacanthicus serratus,Pseudacanthicus,0.0194,3.178,2,SL,6.7,32.3,Loricariidae,Siluriformes,Teleostei
Thymallus nigrescens,Thymallus,0.0042,3.15,1,TL,10.8,48.4,Salmonidae,Salmoniformes,Teleostei
Pungitius laevis,Pungitius,0.0125,2.774,1,TL,1.5,8,Gasterosteidae,Perciformes/Gasterosteoidei,Teleostei
Lycodes raridens,Lycodes,0.003115,3.1767,2,FL,8,84,Zoarcidae,Perciformes/Zoarcoidei,Teleostei
Paralithoxus planquettei,Paralithoxus,0.0116,3.33,1,SL,2.2,5.7,Loricariidae,Siluriformes,Teleostei
Pelasgus prespensis,Pelasgus,0.0102,3.02,1,TL,5.1,7.3,Leuciscidae,Cypriniformes,Teleostei
Barbus lacerta,Barbus,0.0115,2.9586,7,TL,2.6,23.3,Cyprinidae,Cypriniformes,Teleostei
Peristedion imberbe,Peristedion,0.0037,3.019,1,TL,6.2,22.4,Peristediidae,Perciformes/Scorpaenoidei,Teleostei
Seminemacheilus lendlii,Seminemacheilus,0.01,2.942,1,TL,4.4,6.9,Nemacheilidae,Cypriniformes,Teleostei
Phenacorhamdia tenebrosa,Phenacorhamdia,0.0137,2.66,1,SL,2.62,7.54,Heptapteridae,Siluriformes,Teleostei
Chirostoma patzcuaro,Chirostoma,0.01085,2.995,2,SL,,,Atherinopsidae,Atheriniformes,Teleostei
Imparfinis minutus,Imparfinis,0.019,2.703,1,SL,2.2,7.7,Heptapteridae,Siluriformes,Teleostei
Rhamdiopsis microcephala,Rhamdiopsis,0.017,2.865,1,SL,2.5,7.7,Heptapteridae,Siluriformes,Teleostei
Rhamdella eriarcha,Rhamdella,0.0141,2.937,1,SL,2.6,17.7,Heptapteridae,Siluriformes,Teleostei
Rhamdia laticauda,Rhamdia,0.013,3.094,1,SL,4.4,29.4,Heptapteridae,Siluriformes,Teleostei
Leucos basak,Leucos,0.00565,3.2905,2,TL,6,23.3,Leuciscidae,Cypriniformes,Teleostei
Pimelodus fur,Pimelodus,0.012,2.995,2,SL,8,28,Pimelodidae,Siluriformes,Teleostei
Parapimelodus valenciennis,Parapimelodus,0.00825,3.145,6,SL,5.7,24,Pimelodidae,Siluriformes,Teleostei
Iheringichthys labrosus,Iheringichthys,0.0101,3.13,11,TL,6.3,43.5,Pimelodidae,Siluriformes,Teleostei
Pimelodella avanhandavae,Pimelodella,0.0224,2.8,1,SL,1.4,14.2,Heptapteridae,Siluriformes,Teleostei
Pimelodella conquetaensis,Pimelodella,0.0043,3.179,1,TL,6.2,14,Heptapteridae,Siluriformes,Teleostei
Pimelodella eigenmanni,Pimelodella,0.004,3.11,1,TL,14.5,24.5,Heptapteridae,Siluriformes,Teleostei
Pimelodella lateristriga,Pimelodella,0.00972,2.92,6,SL,2.7,20.2,Heptapteridae,Siluriformes,Teleostei
Pimelodella meeki,Pimelodella,0.00758,3.034,1,TL,8.4,14.1,Heptapteridae,Siluriformes,Teleostei
Pimelodella taenioptera,Pimelodella,0.027,2.66,1,SL,3.8,9,Heptapteridae,Siluriformes,Teleostei
Bergiaria westermanni,Bergiaria,0.013,2.994,1,SL,9.2,23,Pimelodidae,Siluriformes,Teleostei
Bagropsis reinhardti,Bagropsis,0.024,2.891,1,SL,10.6,34.5,Pimelodidae,Siluriformes,Teleostei
Duopalatinus emarginatus,Duopalatinus,0.004,3.383,1,SL,10.7,35.1,Pimelodidae,Siluriformes,Teleostei
Brycon orbignyanus,Brycon,0.0182,3,1,TL,30.5,31,Bryconidae,Characiformes,Teleostei
Characidium lagosantense,Characidium,0.021,3.024,1,SL,1.4,4.1,Crenuchidae,Characiformes,Teleostei
Harttia leiopleura,Harttia,0.039,2.696,1,SL,2.2,8.3,Loricariidae,Siluriformes,Teleostei
Harttia novalimensis,Harttia,0.017,2.911,1,SL,3.2,7,Loricariidae,Siluriformes,Teleostei
Neoplecostomus franciscoensis,Neoplecostomus,0.043,2.578,1,SL,2.4,9.1,Loricariidae,Siluriformes,Teleostei
Potamotrygon magdalenae,Potamotrygon,0.004,3.095,1,NG,15,50,Potamotrygonidae,Myliobatiformes,Elasmobranchii
Brycon nattereri,Brycon,0.0215,3.033,3,SL,7.9,51,Bryconidae,Characiformes,Teleostei
Sorubim trigonocephalus,Sorubim,0.0014,3.26,1,TL,24,50,Pimelodidae,Siluriformes,Teleostei
Tympanopleura piperata,Tympanopleura,0.011,3.1936,1,SL,7.5,9.5,Auchenipteridae,Siluriformes,Teleostei
Rhinelepis aspera,Rhinelepis,0.01865,2.966,4,TL,21.3,46.9,Loricariidae,Siluriformes,Teleostei
Tympanopleura atronasus,Tympanopleura,0.00861,3.282,1,SL,8.7,14.9,Auchenipteridae,Siluriformes,Teleostei
Ageneiosus polystictus,Ageneiosus,0.0126,3.0197,1,SL,16,38,Auchenipteridae,Siluriformes,Teleostei
Ageneiosus ucayalensis,Ageneiosus,0.01796,2.7775,4,TL,8,35.5,Auchenipteridae,Siluriformes,Teleostei
Microlipophrys dalmatinus,Microlipophrys,0.00884,3.046,1,TL,1.6,5.8,Blenniidae,Blenniiformes,Teleostei
Cetopsis coecutiens,Cetopsis,0.01147,3.187,2,SL,12.8,27.3,Cetopsidae,Siluriformes,Teleostei
Ctenobrycon magdalenae,Ctenobrycon,0.036,2.813,1,SL,2.7,17.3,Acestrorhamphidae,Characiformes,Teleostei
Cetopsis othonops,Cetopsis,0.0152,3.0812,1,SL,5.4,10.4,Cetopsidae,Siluriformes,Teleostei
Hemibrycon jabonero,Hemibrycon,0.0233,3.102,1,SL,2,8.5,Stevardiidae,Characiformes,Teleostei
Bunocephalus doriae,Bunocephalus,0.0149,3.01,1,SL,2,5,Aspredinidae,Siluriformes,Teleostei
Scleronema angustirostre,Scleronema,0.01044,3,2,SL,2.4,6.4,Trichomycteridae,Siluriformes,Teleostei
Trichomycterus arleoi,Trichomycterus,0.0208,2.852,1,SL,2.6,7,Trichomycteridae,Siluriformes,Teleostei
Trichomycterus banneaui,Trichomycterus,0.0246,2.4636,1,SL,1.7,6.2,Trichomycteridae,Siluriformes,Teleostei
Trichomycterus brasiliensis,Trichomycterus,0.021,2.854,1,SL,2,12.5,Trichomycteridae,Siluriformes,Teleostei
Trichomycterus chapmani,Trichomycterus,0.0115,2.9523,1,SL,1.9,9,Trichomycteridae,Siluriformes,Teleostei
Cambeva davisi,Cambeva,0.0362,2.475,1,TL,13.6,20.8,Trichomycteridae,Siluriformes,Teleostei
Trichomycterus punctulatus,Trichomycterus,0.013,3.01,1,SL,1.3,14.75,Trichomycteridae,Siluriformes,Teleostei
Trichomycterus reinhardti,Trichomycterus,0.007,3.357,1,SL,2.1,10.6,Trichomycteridae,Siluriformes,Teleostei
Melanocharacidium blennioides,Melanocharacidium,0.00971,3.21,1,SL,1.6,5.5,Crenuchidae,Characiformes,Teleostei
Trichomycterus zonatus,Trichomycterus,0.00615,3.05,1,TL,2.7,7.9,Trichomycteridae,Siluriformes,Teleostei
